seed,turn,seat,hp,mp,energy,foe_hp,foe_mp,foe_energy,dist,shrink,my_ac,foe_ac,my_nade,foe_nade,outcome
770003,11,B,100,68,90,100,68,100,6,1,5,0,1,1,-1
770003,12,A,100,68,90,100,68,100,6,1,1,0,1,1,1
770003,12,B,100,68,100,100,68,90,6,1,0,1,1,1,-1
770003,13,A,100,28,100,100,58,100,5,1,2,1,1,1,1
770003,13,B,100,58,100,100,28,100,5,1,1,2,1,1,-1
770003,14,A,100,18,100,100,58,95,4,1,3,2,1,1,1
770003,14,B,100,58,95,100,18,100,4,1,2,3,1,1,-1
770003,15,A,100,33,100,100,18,100,6,1,4,3,1,1,1
770003,15,B,100,18,100,100,33,100,6,1,3,4,1,1,-1
770003,16,A,100,33,100,100,33,100,6,1,0,4,1,1,1
770003,16,B,100,33,100,100,33,100,6,1,4,0,1,1,-1
770003,17,A,100,23,100,100,46,100,6,1,1,5,1,1,1
770003,17,B,100,46,100,100,23,100,6,1,5,1,1,1,-1
770003,18,A,100,38,100,100,46,100,4,1,2,1,1,1,1
770003,18,B,100,46,100,100,38,100,4,1,1,2,1,1,-1
770003,19,A,100,38,100,100,46,100,4,1,3,2,1,1,1
770003,19,B,100,46,100,100,38,100,4,1,2,3,1,1,-1
770003,20,A,100,38,70,100,6,100,6,1,5,3,1,1,1
770003,20,B,100,6,100,100,38,70,6,1,3,5,1,1,-1
770003,21,A,100,38,100,100,20,100,6,2,0,4,1,1,1
770003,21,B,100,20,100,100,38,100,6,2,4,0,1,1,-1
770003,22,A,100,38,85,100,33,100,5,2,2,5,1,1,1
770003,22,B,100,33,100,100,38,85,5,2,5,2,1,1,-1
770003,23,A,100,38,80,100,48,100,4,2,3,0,1,1,1
770003,23,B,100,48,100,100,38,80,4,2,0,3,1,1,-1
770003,24,A,100,53,80,100,48,95,3,2,4,1,1,1,1
770003,24,B,100,48,95,100,53,80,3,2,1,4,1,1,-1
770003,25,A,100,53,70,100,48,80,4,2,0,3,1,0,1
770003,25,B,100,48,80,100,53,70,4,2,3,0,0,1,-1
770003,26,A,100,53,90,100,48,90,4,2,0,4,1,0,1
770003,26,B,100,48,90,100,53,90,4,2,4,0,0,1,-1
770003,27,A,100,53,80,100,48,80,2,2,1,5,1,0,1
770003,27,B,100,48,80,100,53,80,2,2,5,1,0,1,-1
770003,28,A,100,43,60,100,48,65,3,2,3,1,1,0,1
770003,28,B,100,48,65,100,43,60,3,2,1,3,0,1,-1
770003,29,A,100,43,80,100,48,55,2,2,3,2,1,0,1
770003,29,B,100,48,55,100,43,80,2,2,2,3,0,1,-1
770003,30,A,85,43,45,100,18,25,4,2,5,4,1,0,1
770003,30,B,100,18,25,85,43,45,4,2,4,5,0,1,-1
770003,31,A,85,43,75,100,33,25,3,2,0,5,1,0,1
770003,31,B,100,33,25,85,43,75,3,2,5,0,0,1,-1
770003,32,A,85,43,55,100,46,55,2,2,2,0,1,0,1
770003,32,B,100,46,55,85,43,55,2,2,0,2,0,1,-1
770003,33,A,85,43,50,100,6,35,1,2,3,2,1,0,1
770003,33,B,100,6,35,85,43,50,1,2,2,3,0,1,-1
770003,34,A,85,43,40,85,6,20,2,2,4,3,1,0,1
770003,34,B,85,6,20,85,43,40,2,2,3,4,0,1,-1
770003,35,A,100,58,40,85,6,10,3,2,5,4,1,0,1
770003,35,B,85,6,10,100,58,40,3,2,4,5,0,1,-1
770003,36,A,100,18,50,62,6,30,1,2,1,4,1,0,1
770003,36,B,62,6,30,100,18,50,1,2,4,1,0,1,-1
770003,37,A,85,18,30,47,6,30,1,2,3,0,0,0,1
